Filename,Segment,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP,docket_number,result,remanded,result text
06-100-safeco-ins-co-am-v-burr-geico-gen-ins-co-v-edo-amicus-merits.txt,1.0,16071.0,98.05,40.09,13.04,22.59,19.2,27.73,67.52,39.57,4.34,0.76,0.33,0.0,0.0,0.3,0.12,3.58,9.66,14.8,4.13,1.8,5.24,0.96,7.5,2.99,1.79,0.84,6.6,2.15,4.36,2.06,2.26,0.09,0.57,0.3,2.76,0.04,0.05,0.04,0.3,11.42,2.64,2.24,1.01,3.39,0.98,3.96,0.61,0.5,0.07,0.02,0.47,0.13,0.33,0.01,0.02,5.76,0.34,1.31,3.57,0.52,0.78,1.77,3.98,0.7,8.64,1.38,5.81,1.49,7.11,0.19,0.42,3.55,0.06,0.02,0.93,0.01,0.8,0.11,0.05,0.0,28.09,7.52,5.85,0.04,0.89,0.0,0.0,1.4,2.5,1.09,7.52,1.3,06-84,1,1,Judgment REVERSED and case REMANDED.
08-1547-migliaccio-v-castanedahenneford-v-castaneda-amicus-uninvited.txt,1.0,6165.0,98.39,43.36,8.72,27.66,12.79,26.36,59.19,35.39,3.89,0.84,0.13,0.06,0.0,0.44,0.21,3.05,9.52,13.51,3.36,1.43,3.88,1.2,6.23,2.9,1.65,0.73,9.12,2.16,2.73,1.3,1.18,0.1,0.19,0.15,3.05,0.03,0.06,0.0,0.47,9.15,1.8,1.93,0.6,2.01,0.79,3.45,0.73,0.67,0.03,0.02,2.5,0.41,2.03,0.08,0.32,4.44,0.24,0.75,2.82,0.24,0.57,2.37,3.08,0.45,8.5,1.14,5.69,1.78,3.52,0.34,0.44,0.24,0.0,0.13,1.23,0.0,0.99,0.08,0.06,0.0,31.34,10.53,6.03,0.11,0.57,0.0,0.0,1.46,2.04,1.22,7.98,1.39,08-1529,1,1,Judgment REVERSED and case REMANDED.
08-372-macs-shell-serv-inc-v-shell-oil-prods-co-llcshell-oil-prods-co-llc-v-macs-shell.txt,1.0,6693.0,98.17,40.38,12.98,34.32,13.15,27.85,65.73,39.82,4.59,1.06,0.43,0.03,0.0,0.09,0.51,3.53,12.28,12.83,4.11,2.26,4.5,1.23,6.5,2.03,1.08,0.82,6.71,1.11,3.11,1.79,1.3,0.09,0.39,0.48,2.27,0.0,0.03,0.0,0.1,9.4,2.2,2.27,0.9,2.08,0.79,3.06,0.87,0.49,0.07,0.03,0.6,0.03,0.49,0.0,0.07,4.66,0.37,1.34,2.69,0.45,0.43,1.73,3.77,0.48,9.53,1.08,5.18,3.33,6.62,0.18,1.17,4.96,0.01,0.03,0.97,0.01,0.85,0.07,0.01,0.0,25.92,9.17,4.86,0.03,0.12,0.0,0.0,0.78,4.6,1.17,3.62,1.58,08-240,2,1,"Judgment REVERSED IN PART, AFFIRMED IN PART, and REMANDED."
08-759-level-3-commcns-llc-v-city-st-louissprint-telephony-pcs-lp-v-san-diego-county.txt,1.0,6735.0,96.6,38.25,15.84,30.01,13.18,26.37,61.01,36.54,5.33,0.8,0.65,0.01,0.01,0.0,0.12,4.53,9.04,12.25,4.42,1.47,4.2,1.2,6.47,2.49,1.2,0.56,8.97,2.24,1.92,1.07,0.82,0.13,0.22,0.22,2.14,0.0,0.06,0.0,0.0,10.07,2.85,2.2,0.97,2.54,0.94,3.27,0.74,0.59,0.15,0.0,0.36,0.13,0.1,0.0,0.12,5.23,0.45,1.77,3.19,0.3,0.37,1.34,3.74,0.64,9.19,0.8,7.26,0.89,4.8,0.24,0.61,0.73,0.01,0.0,1.23,0.03,1.11,0.1,0.01,0.0,29.19,9.21,4.97,0.01,0.28,0.0,0.0,2.38,3.0,1.96,6.21,1.17,08-626,3,0,Petition DENIED.
14-penn-plaza-llc-v-pyett-amicus-merits.txt,1.0,9389.0,96.98,45.95,6.55,51.48,15.29,25.41,61.55,40.24,5.43,1.43,0.31,0.01,0.0,0.3,0.81,4.0,9.54,14.21,4.76,2.41,4.36,1.45,6.93,2.41,1.51,0.88,6.35,1.18,3.06,2.22,0.84,0.09,0.23,0.39,3.99,0.04,0.01,0.04,0.29,8.78,1.8,1.75,0.89,1.4,0.99,3.21,0.67,0.58,0.05,0.04,0.36,0.06,0.05,0.02,0.22,6.74,1.79,0.98,3.64,0.48,0.37,1.64,4.16,0.55,7.81,0.55,5.61,1.61,3.91,0.34,0.35,0.53,0.03,0.17,0.75,0.05,0.44,0.16,0.06,0.0,26.88,9.38,5.64,0.1,0.47,0.01,0.0,2.19,2.15,1.43,3.75,1.76,07-581,1,1,Judgment REVERSED and case REMANDED.
17-1150.pdf,1.0,4730.0,93.18,37.71,15.06,54.02,10.11,22.49,60.91,38.9,6.64,2.28,1.14,0.0,0.0,0.99,0.15,4.36,8.96,11.37,5.26,2.18,5.07,1.27,8.1,2.49,1.33,1.21,12.37,1.25,2.52,2.01,0.51,0.0,0.17,0.13,3.19,0.38,0.04,0.04,1.29,9.89,3.13,1.37,1.1,1.97,0.74,3.83,0.53,0.47,0.06,0.0,0.36,0.06,0.19,0.0,0.11,4.88,0.13,0.89,3.76,0.25,0.23,4.23,2.75,0.36,8.79,0.51,5.2,3.11,2.79,0.19,0.93,0.82,0.02,0.06,1.9,0.08,1.82,0.04,0.04,0.0,83.97,59.56,4.95,0.17,0.25,0.0,0.0,3.09,3.62,1.25,9.26,1.84,17-1150,3,0,Petition DENIED.
aarp-v-eeoc-opposition.txt,1.0,3155.0,97.51,43.45,7.29,61.23,12.28,28.91,61.11,34.36,4.34,0.76,0.41,0.0,0.0,0.03,0.32,3.58,8.18,12.93,3.58,1.87,3.68,1.01,6.12,3.01,1.39,0.38,7.58,1.93,3.14,2.5,0.63,0.03,0.16,0.1,2.63,0.0,0.03,0.0,0.06,9.67,2.12,1.87,0.57,2.19,1.58,2.79,0.57,0.57,0.0,0.0,1.71,0.1,1.3,0.06,0.25,8.18,0.06,2.19,5.29,1.14,0.41,1.84,3.33,0.98,7.54,0.48,5.32,1.58,6.18,0.29,0.57,0.35,0.03,0.0,1.14,0.06,0.82,0.0,0.0,0.0,31.06,11.32,5.1,0.03,0.44,0.0,0.0,1.93,4.5,1.87,4.25,1.62,07-662,3,0,Petition DENIED.
abbott-v-abbott-amicus-invitation-petition.txt,1.0,6600.0,98.49,56.38,14.15,38.13,13.47,24.29,61.5,37.86,4.27,1.23,0.56,0.03,0.05,0.45,0.14,3.05,11.23,13.44,4.61,1.53,3.68,0.91,7.5,2.47,1.38,0.82,6.76,0.82,2.15,1.42,0.73,0.05,0.24,0.12,5.41,0.95,0.03,0.26,0.35,7.86,2.39,1.48,0.67,1.41,0.58,2.39,0.98,0.88,0.06,0.03,0.62,0.05,0.42,0.0,0.15,6.44,1.27,1.0,3.7,0.5,0.47,1.53,4.5,0.56,10.33,0.8,7.88,1.38,2.2,1.0,0.82,0.12,0.0,0.03,0.86,0.02,0.71,0.05,0.03,0.0,27.36,9.8,5.97,0.06,0.61,0.0,0.0,1.14,2.76,1.67,3.76,1.61,08-645,1,1,Judgment REVERSED and case REMANDED.
abbott-v-perez-0.pdf,1.0,7024.0,94.9,38.83,12.69,36.82,10.89,24.07,55.69,33.54,5.03,0.75,0.33,0.11,0.0,0.04,0.27,4.27,7.93,10.65,4.48,1.82,3.84,1.45,7.36,2.89,1.61,0.63,10.98,0.85,2.96,1.78,1.15,0.01,0.36,0.24,1.82,0.06,0.07,0.07,0.06,10.18,3.08,2.55,0.97,1.38,0.75,2.96,1.01,0.83,0.09,0.1,0.36,0.14,0.06,0.03,0.13,5.48,0.28,2.53,2.38,0.46,0.37,2.69,3.36,1.47,8.8,0.73,5.85,2.15,2.55,0.57,0.44,0.09,0.21,0.06,0.93,0.03,0.77,0.04,0.03,0.0,64.72,40.89,5.97,0.09,0.68,0.0,0.0,4.09,3.79,1.68,5.65,1.89,17-586,1,1,"Judgment REVERSED, and case REMANDED."
abbott-v-perez.pdf,1.0,15828.0,96.83,39.69,15.73,42.87,11.95,23.74,57.52,34.55,4.96,0.75,0.45,0.01,0.01,0.06,0.22,4.21,8.78,11.83,4.32,1.57,3.65,1.04,7.08,2.79,1.55,0.66,9.86,1.47,2.83,1.88,0.94,0.03,0.32,0.18,1.33,0.01,0.03,0.0,0.07,10.03,3.01,2.78,1.03,1.57,0.88,2.48,0.76,0.63,0.06,0.04,0.32,0.15,0.09,0.03,0.06,6.0,0.27,2.89,2.42,0.55,0.34,2.69,2.85,1.94,10.12,0.59,7.37,2.07,2.38,0.49,0.3,0.06,0.16,0.03,0.87,0.0,0.79,0.03,0.03,0.01,53.7,32.12,6.2,0.09,0.55,0.01,0.0,3.8,3.44,1.19,4.65,1.65,17-586,1,1,"Judgment REVERSED, and case REMANDED."
